,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,115.03323506933009,200,0.004038312996271998,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",200,0.3,4096
1,1,127.95276744334218,402,0.02034246301627718,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",200,0.3,4096
2,2,127.95276744334218,603,0.03589762200135738,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",200,0.3,4096
3,4,127.95276744334218,1005,0.0655824989953544,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",200,0.3,4096
4,8,129.42283399316923,1811,0.12331554901902564,"[7, 21, 5, 17, 10, 15, 12, 2, 20, 8, 16, 0, 11, 1, 9, 3, 13, 4, 19, 14, 6, 18]",200,0.3,4096
5,16,136.8635855797643,3423,0.23616191602195613,"[6, 16, 3, 10, 0, 12, 4, 13, 20, 11, 19, 9, 21, 8, 17, 1, 18, 7, 15, 5, 14, 2]",200,0.3,4096
6,32,139.08583468256438,6643,0.46124470501672477,"[17, 6, 16, 3, 10, 0, 12, 4, 13, 20, 11, 19, 9, 21, 8, 18, 1, 7, 15, 5, 14, 2]",200,0.3,4096
7,64,142.35018236179525,13082,0.9045018750184681,"[12, 0, 16, 6, 20, 10, 4, 15, 2, 11, 21, 9, 19, 8, 17, 3, 14, 7, 18, 5, 13, 1]",200,0.3,4096
8,128,146.6429815273995,25956,1.8035038500092924,"[12, 0, 14, 3, 15, 4, 16, 6, 20, 10, 2, 11, 21, 9, 19, 8, 18, 7, 17, 5, 13, 1]",200,0.3,4096
9,256,148.1587905538299,51693,3.5990265700093005,"[12, 2, 14, 3, 15, 5, 17, 7, 19, 10, 0, 11, 21, 9, 20, 8, 18, 6, 16, 4, 13, 1]",200,0.3,4096
10,512,148.57959438071674,103156,7.153628227999434,"[12, 0, 11, 1, 13, 3, 15, 5, 17, 7, 19, 9, 21, 10, 20, 8, 18, 6, 16, 4, 14, 2]",200,0.3,4096
11,1024,148.57959438071674,169888,11.829030050022993,"[12, 0, 11, 1, 13, 3, 15, 5, 17, 7, 19, 9, 21, 10, 20, 8, 18, 6, 16, 4, 14, 2]",200,0.3,4096
12,2048,148.57959438071674,169888,11.829030050022993,"[12, 0, 11, 1, 13, 3, 15, 5, 17, 7, 19, 9, 21, 10, 20, 8, 18, 6, 16, 4, 14, 2]",200,0.3,4096
13,4096,148.57959438071674,169888,11.829030050022993,"[12, 0, 11, 1, 13, 3, 15, 5, 17, 7, 19, 9, 21, 10, 20, 8, 18, 6, 16, 4, 14, 2]",200,0.3,4096
